elexonBmUnit,nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
2__AANGE003,AG-ALIM04,2__AANGE003,,,Limejump Energy Limited,S,FALSE,2__AANGE003,ANGEL,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__AMRCY001,AG-AOCT01,2__AMRCY001,,,Octopus Energy Limited,S,TRUE,2__AMRCY001,MERCURY,-12.2,0,C,0.0027037,-4.545,-4.696,0,0,FALSE,FALSE,_A,Eastern,
2__ASTAT001,AG-ASTK01,2__ASTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_A2,STATKRA1,0,20,C,0.0027037,0,0,4.4,4.4,FALSE,FALSE,_A,Eastern,
2__ASTAT002,AG-ASTK02,2__ASTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_A3,STATKRA1,0,20.743,C,0.0027037,0,0,4.563,4.563,FALSE,FALSE,_A,Eastern,
2__ASTAT003,AG-ASTK03,2__ASTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_A4,STATKRA1,-4,42,C,0.0027037,-0.966,-0.379,10.143,3.977,FALSE,FALSE,_A,Eastern,
2__ASTAT004,AG-ASTK04,2__ASTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_A5,STATKRA1,-5,5,C,0.0027037,-2.311,-1.987,2.311,1.987,FALSE,FALSE,_A,Eastern,
2__ASTAT005,AG-ASTK05,2__ASTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_A6,STATKRA1,-52,50,C,0.0027037,-0.541,-0.504,0.52,0.485,FALSE,FALSE,_A,Eastern,
2__ASTAT006,AG-ASTK06,2__ASTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_A7,STATKRA1,-2,20,C,0.0027037,-0.924,-0.795,9.242,7.948,FALSE,FALSE,_A,Eastern,
2__ASTAT007,AG-ASTK07,2__ASTAT007,,,Statkraft Markets Gmbh,S,TRUE,STAT_A8,STATKRA1,-2,20.896,C,0.0027037,-0.924,-0.795,9.656,8.304,FALSE,FALSE,_A,Eastern,
2__ASTAT008,AG-ASTK08,2__ASTAT008,,,Statkraft Markets Gmbh,S,TRUE,STAT_A9,STATKRA1,-18.734,27.697,C,0.0027037,-0.29,-0.204,0.429,0.302,FALSE,FALSE,_A,Eastern,
2__ASTAT009,AG-ASTK09,2__ASTAT009,,,Statkraft Markets Gmbh,S,TRUE,STAT_A10,STATKRA1,-12,12,C,0.0027037,-5.545,-4.769,5.545,4.769,FALSE,FALSE,_A,Eastern,
2__ASTAT099,AG-ASTK99,2__ASTAT099,,,Statkraft Markets Gmbh,S,TRUE,STAT_A99,STATKRA1,-4,6,C,0.0027037,-1.848,-1.59,2.773,2.384,FALSE,FALSE,_A,Eastern,
2__AUKPR001,AG-AUKP01,2__AUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR East,UKPR,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
V__KAXLE001,AG-AXL00K,V__KAXLE001,,,Axle Energy Limited,V,TRUE,V__KAXLE001,AXLEENER,0,0,C,0.0217596,0,0,0,0,FALSE,FALSE,_K,South Wales,
2__BLOND001,AG-BEDF01,2__BLOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate E Mids 01,LENCO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,
2__BLOND002,AG-BEDF02,2__BLOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate E Mids 02,LENCO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,
2__BLOND003,AG-BEDF03,2__BLOND003,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate E Mids 03,LENCO,-2,20,C,0.0088925,-0.863,-0.724,8.632,7.24,FALSE,FALSE,_B,East Midlands,
2__BLOND004,AG-BEDF04,2__BLOND004,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate E Mids 04,LENCO,0,0,C,0.0088925,0,0,0,0,FALSE,FALSE,_B,East Midlands,
2__BEDGE001,AG-BEDG01,2__BEDGE001,,,Edgware Energy Limited,S,TRUE,2__BEDGE001,EDGWARE,0,49.9,C,0.0088925,0,0,10.978,10.978,FALSE,FALSE,_B,East Midlands,
2__BFLEX001,AG-BFLX01,2__BFLEX001,,,Flexitricity Limited,S,TRUE,2__BFLEX001,FLEXTRCY,-5.232,49,C,0.0088925,-0.042,-0.048,0.397,0.451,FALSE,FALSE,_B,East Midlands,
2__BFLEX002,AG-BFLX02,2__BFLEX002,,,Flexitricity Limited,S,FALSE,2__BFLEX002,FLEXTRCY,0,49,C,0.0088925,0,0,10.78,10.78,FALSE,FALSE,_B,East Midlands,
2__BFLEX003,AG-BFLX03,2__BFLEX003,,,Flexitricity Limited,S,TRUE,2__BFLEX003,FLEXTRCY,0,49,C,0.0088925,0,0,9.638,9.638,FALSE,FALSE,_B,East Midlands,
2__BFLEX004,AG-BFLX04,2__BFLEX004,,,Flexitricity Limited,S,TRUE,2__BFLEX004,FLEXTRCY,-26.13,49,C,0.0088925,-0.222,-0.222,0.417,0.417,FALSE,FALSE,_B,East Midlands,
2__BPOWQ001,AG-BHAR01,2__BPOWQ001,,,Hartree Partners Supply UK,S,TRUE,2__BPOWQ001,POWQ,0,8,C,0.0088925,0,0,1.76,1.76,FALSE,FALSE,_B,East Midlands,
2__BLIME000,AG-BLIM01,2__BLIME000,,,Limejump Energy Limited,G,FALSE,2__BLIME000,ANGEL,0,50,C,0.0067476,0,0,11,11,FALSE,FALSE,_B,East Midlands,
2__BANGE001,AG-BLIM02,2__BANGE001,,,Limejump Energy Limited,S,FALSE,2__BANGE001,ANGEL,-18,50,C,0.0088925,-7.769,-6.516,21.58,18.1,FALSE,FALSE,_B,East Midlands,
2__BANGE002,AG-BLIM03,2__BANGE002,,,Limejump Energy Limited,S,FALSE,2__BANGE002,ANGEL,0,50,C,0.0088925,0,0,11,11,FALSE,FALSE,_B,East Midlands,
2__BANGE003,AG-BLIM04,2__BANGE003,,,Limejump Energy Limited,S,FALSE,2__BANGE003,ANGEL,-5.34,2.08,C,0.0088925,-2.305,-1.933,0.898,0.753,FALSE,FALSE,_B,East Midlands,
2__BMRCY001,AG-BOCT01,2__BMRCY001,,,Octopus Energy Limited,S,TRUE,AG-BOCT01,MERCURY,-5,0,C,0.0088925,-2.158,-1.81,0,0,FALSE,FALSE,_B,East Midlands,
2__BSMAR002,AG-BSMA01,2__BSMAR002,,,Smartestenergy Limited,S,TRUE,2__BSMAR002,SMARTEST,-50,50,C,0.0054492,-23.64,-21.495,23.64,21.495,FALSE,FALSE,_B,East Midlands,
2__BSMAR003,AG-BSMA02,2__BSMAR003,,,Smartestenergy Limited,S,TRUE,2__BSMAR003,SMARTEST,-50,50,C,0.0054492,-23.64,-21.495,23.64,21.495,FALSE,FALSE,_B,East Midlands,
2__BSTAT001,AG-BSTK01,2__BSTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_B2,STATKRA1,0,4,C,0.0088925,0,0,0.258,0.258,FALSE,FALSE,_B,East Midlands,
2__BSTAT002,AG-BSTK02,2__BSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_B3,STATKRA1,0,6.431,C,0.0088925,0,0,1.325,1.325,FALSE,FALSE,_B,East Midlands,
2__BSTAT003,AG-BSTK03,2__BSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_B4,STATKRA1,0,16,C,0.0088925,0,0,0.669,0.669,FALSE,FALSE,_B,East Midlands,
2__BSTAT004,AG-BSTK04,2__BSTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_B5,STATKRA1,-2,10,C,0.0088925,-0.863,-0.724,4.316,3.62,FALSE,FALSE,_B,East Midlands,
2__BSTAT099,AG-BSTK99,2__BSTAT099,,,Statkraft Markets Gmbh,S,TRUE,STAT_B99,STATKRA1,-2,2,C,0.0088925,-0.863,-0.724,0.863,0.724,FALSE,FALSE,_B,East Midlands,
2__BUKPR001,AG-BUKP01,2__BUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR East Mids,UKPR,-10,10,C,0.0088925,-0.09,-0.105,0.09,0.105,FALSE,FALSE,_B,East Midlands,
V__LCEND001,AG-CBS02L,V__LCEND001,,,Centrica Business Solutions UK,V,TRUE,Wavehub,CENDEPUK,0,0,P,0.0270702,0,0,0,0,TRUE,FALSE,_L,South Western,
V__LCEND005,AG-CBS05L,V__LCEND005,,,Centrica Business Solutions UK,V,TRUE,V__LCEND005,CENDEPUK,0,0,P,0.0270702,0,0,0,0,TRUE,FALSE,_L,South Western,
V__BCEND004,AG-CBS06B,V__BCEND004,,,Centrica Business Solutions UK,V,TRUE,V__BCEND004,CENDEPUK,0,0,P,0.0088925,0,0,0,0,TRUE,FALSE,_B,East Midlands,
V__ECEND007,AG-CBS07B,V__ECEND007,,,Centrica Business Solutions UK,V,TRUE,V__ECEND007,CENDEPUK,0,0,P,0.0217983,0,0,0,0,TRUE,FALSE,_E,Midlands,
V__MCEND001,AG-CBS08M,V__MCEND001,,,Centrica Business Solutions UK,V,TRUE,Brigg Battery,CENDEPUK,0,0,P,-0.0041544,0,0,0,0,TRUE,FALSE,_M,Yorkshire,
2__CMRCY001,AG-COCT00,2__CMRCY001,,,Octopus Energy Limited,S,TRUE,2__CMRCY001,MERCURY,-4.4,2.3,C,0.0210344,-0.858,-0.869,0.448,0.454,FALSE,FALSE,_C,London,
2__CMRCY002,AG-COCT01,2__CMRCY002,48W000AG-COCT01L,,Octopus Energy Limited,S,TRUE,AG-COCT01,MERCURY,-5,0,C,0.0230024,-2.742,-2.437,0,0,FALSE,FALSE,_C,London,
2__CPADD001,AG-CPAD01,2__CPADD001,,,Fuse Energy Supply Limited,S,TRUE,Padd_DSR,PADDINGT,-0.004,0,C,0.0230024,-0.002,-0.002,0,0,FALSE,FALSE,_C,London,
2__DLOND001,AG-DEDF01,2__DLOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate MANWEB01,LENCO,-2,24,C,0.0016804,-0.208,-0.064,2.498,0.77,FALSE,FALSE,_D,Merseyside North Wales,
2__DLOND002,AG-DEDF02,2__DLOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate MANWEB02,LENCO,-2,24,C,0.0016804,-0.856,-0.757,10.274,9.089,FALSE,FALSE,_D,Merseyside North Wales,
2__DANGE001,AG-DLIM01,2__DANGE001,,,Limejump Energy Limited,S,FALSE,2__DANGE001,ANGEL,0,50,C,0.0016804,0,0,11,11,FALSE,FALSE,_D,Merseyside North Wales,
2__DMRCY001,AG-DOCT01,2__DMRCY001,48W000AG-DOCT01E,,Octopus Energy Limited,S,TRUE,AG-DOCT01,MERCURY,-5,0,C,0.0016804,-2.141,-1.894,0,0,FALSE,FALSE,_D,Merseyside North Wales,
V__GDSKC001,AG-DSK01G,V__GDSKC001,48W000AG-DSK01GX,,Danske Commodities A/S,V,TRUE,V__GDSKC001,DANSKE,0,0,C,-0.0032071,0,0,0,0,FALSE,FALSE,_G,North Western,
V__HDSKC001,AG-DSK01H,V__HDSKC001,,,Danske Commodities A/S,V,TRUE,V__HDSKC001,DANSKE,0,0,C,0.0239908,0,0,0,0,FALSE,FALSE,_H,Southern,
2__DSMAE001,AG-DSMA01,2__DSMAE001,,,Smartestenergy Limited,S,TRUE,2__DSMAE001,SMARTEST,0,35.786,C,0.0016804,0,0,7.873,7.873,FALSE,FALSE,_D,Merseyside North Wales,
2__DSMAE002,AG-DSMA02,2__DSMAE002,,,Smartestenergy Limited,S,TRUE,2__DSMAE002,SMARTEST,-50,50,C,0.0016804,-21.405,-18.935,21.405,18.935,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT001,AG-DSTK01,2__DSTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_D2,STATKRA1,-2,20.324,C,0.0016804,-0.153,-0.023,1.557,0.232,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT002,AG-DSTK02,2__DSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_D3,STATKRA1,-2,14,C,0.0016804,-0.056,-0.02,0.393,0.143,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT003,AG-DSTK03,2__DSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_D4,STATKRA1,0,20.352,C,0.0016804,0,0,1.241,1.241,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT004,AG-DSTK04,2__DSTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_D5,STATKRA1,0,16,C,0.0016804,0,0,0.739,0.739,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT005,AG-DSTK05,2__DSTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_D6,STATKRA1,0,16.399,C,0.0016804,0,0,0.687,0.687,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT006,AG-DSTK06,2__DSTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_D7,STATKRA1,0,14,C,0.0016804,0,0,1.204,1.204,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT007,AG-DSTK07,2__DSTAT007,,,Statkraft Markets Gmbh,S,TRUE,STAT_D8,STATKRA1,-2,30,C,0.0016804,-0.856,-0.757,12.843,11.361,FALSE,FALSE,_D,Merseyside North Wales,
2__DSTAT099,AG-DSTK99,2__DSTAT099,,,Statkraft Markets Gmbh,S,TRUE,STAT_D99,STATKRA1,-2,4,C,0.0016804,-0.856,-0.757,1.712,1.515,FALSE,FALSE,_D,Merseyside North Wales,
2__DUKPR001,AG-DUKP01,2__DUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR MANW,UKPR,-20,20,C,0.0016804,-0.134,-0.158,0.134,0.158,FALSE,FALSE,_D,Merseyside North Wales,
V__AFEEL002,AG-EDF01C,V__AFEEL002,,,EDF Energy Limited,V,TRUE,V__AFEEL002,LONDELEC,-50,50.2,P,0.0027037,-11.5,-11.5,11.546,11.546,TRUE,FALSE,_A,Eastern,
2__ELOND001,AG-EEDF01,2__ELOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate W Mids 1,LENCO,0,0,C,0.0178442,0,0,0,0,FALSE,FALSE,_E,Midlands,
2__ELOND002,AG-EEDF02,2__ELOND002,,,EDF Energy Customers Limited,S,TRUE,EDF Aggregate Midlands 2,LENCO,0,5.477,C,0.0178442,0,0,1.205,1.205,FALSE,FALSE,_E,Midlands,
2__EFLEX001,AG-EFLX01,2__EFLEX001,,,Flexitricity Limited,S,FALSE,2__EFLEX001,FLEXTRCY,0,49,C,0.0178442,0,0,10.78,10.78,FALSE,FALSE,_E,Midlands,
2__EFLEX002,AG-EFLX02,2__EFLEX002,,,Flexitricity Limited,S,TRUE,2__EFLEX002,FLEXTRCY,0,49,C,0.0178442,0,0,1.093,1.093,FALSE,FALSE,_E,Midlands,
2__EFLEX003,AG-EFLX03,2__EFLEX003,,,Flexitricity Limited,S,TRUE,2__EFLEX003,FLEXTRCY,0,49,C,0.0178442,0,0,3.126,3.126,FALSE,FALSE,_E,Midlands,
2__EFLEX004,AG-EFLX04,2__EFLEX004,,,Flexitricity Limited,S,TRUE,2__EFLEX004,FLEXTRCY,0,49,C,0.0178442,0,0,2.548,2.548,FALSE,FALSE,_E,Midlands,
2__ELIME000,AG-ELIM01,2__ELIME000,,,Limejump Energy Limited,G,FALSE,2__ELIME000,ANGEL,0,26,C,0.0178442,0,0,5.72,5.72,FALSE,FALSE,_E,Midlands,
2__EANGE001,AG-ELIM02,2__EANGE001,,,Limejump Energy Limited,S,FALSE,2__EANGE001,ANGEL,-19.86,50,C,0.0178442,-8.885,-7.531,22.37,18.96,FALSE,FALSE,_E,Midlands,
2__EANGE002,AG-ELIM03,2__EANGE002,,,Limejump Energy Limited,S,FALSE,2__EANGE002,ANGEL,-17.9,50,C,0.0178442,-8.008,-6.788,22.37,18.96,FALSE,FALSE,_E,Midlands,
V__AENEL001,AG-ENX00A,V__AENEL001,,,Enel X UK Limited,V,TRUE,V__AENEL001,ENOC,0,0,C,0.0092874,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,
V__BENOC001,AG-ENX01B,V__BENOC001,,,Enel X UK Limited,V,TRUE,V__BENOC001,ENOC,0,0,C,0.0088925,0,0,0,0,FALSE,FALSE,_B,East Midlands,
V__MENOC001,AG-ENX01M,V__MENOC001,,,Enel X UK Limited,V,TRUE,V__MENOC001,ENOC,0,0,C,-0.0041544,0,0,0,0,FALSE,FALSE,_M,Yorkshire,
2__EMRCY001,AG-EOCT01,2__EMRCY001,,,Octopus Energy Limited,S,TRUE,AG-EOCT01,MERCURY,-5,0,C,0.0178442,-2.237,-1.896,0,0,FALSE,FALSE,_E,Midlands,
V__MEROV001,AG-ERV01M,V__MEROV001,,,Erova Energy Limited,V,TRUE,V__MEROV001,EROVAIRL,0,0,C,-0.0041544,0,0,0,0,FALSE,FALSE,_M,Yorkshire,
2__ESMAR001,AG-ESMA01,2__ESMAR001,,,Smartestenergy Limited,S,TRUE,2__ESMAR001,SMARTEST,-50,50,C,0.0134244,-24.565,-22.225,24.565,22.225,FALSE,FALSE,_E,Midlands,
2__ESTAT001,AG-ESTK01,2__ESTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_E2,STATKRA1,-2,20.413,C,0.0178442,-0.214,-0.042,2.188,0.427,FALSE,FALSE,_E,Midlands,
2__ESTAT002,AG-ESTK02,2__ESTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_E3,STATKRA1,0,4,C,0.0178442,0,0,0.396,0.396,FALSE,FALSE,_E,Midlands,
2__ESTAT003,AG-ESTK03,2__ESTAT003,48W000AG-ESTK034,,Statkraft Markets Gmbh,S,TRUE,STAT_E4,STATKRA1,-2,18,C,0.0178442,-0.155,-0.011,1.397,0.103,FALSE,FALSE,_E,Midlands,
2__ESTAT004,AG-ESTK04,2__ESTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_E5,STATKRA1,0,12.603,C,0.0178442,0,0,1.559,1.559,FALSE,FALSE,_E,Midlands,
2__ESTAT005,AG-ESTK05,2__ESTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_E6,STATKRA1,0,20,C,0.0178442,0,0,4.4,4.4,FALSE,FALSE,_E,Midlands,
C__ESTAT019,AG-ESTK06,C__ESTAT019,,,Statkraft Markets Gmbh,S,FALSE,C__ESTAT019-AR4-BSP-700,STATKRA1,0,30,C,0.0178442,0,0,6.6,6.6,FALSE,FALSE,_E,Midlands,
2__ESTAT099,AG-ESTK99,2__ESTAT099,,,Statkraft Markets Gmbh,S,TRUE,STAT_E99,STATKRA1,-2,4,C,0.0178442,-0.895,-0.758,1.79,1.517,FALSE,FALSE,_E,Midlands,
2__EUKPR001,AG-EUKP01,2__EUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR Mid,UKPR,0,0,C,0.0178442,0,0,0,0,FALSE,FALSE,_E,Midlands,
V__EEXRG001,AG-EXE00E,V__EEXRG001,,,Exergy Solutions Limited,V,TRUE,V__EEXRG001,EXERGY,0,0,C,0.0178442,0,0,0,0,FALSE,FALSE,_E,Midlands,
2__FLOND001,AG-FEDF01,2__FLOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Northern 01,LENCO,0,0,C,-0.0095682,0,0,0,0,FALSE,FALSE,_F,_F - Northern,
2__FLOND002,AG-FEDF02,2__FLOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Northern 02,LENCO,0,0,C,-0.0095682,0,0,0,0,FALSE,FALSE,_F,_F - Northern,
2__FFLEX001,AG-FFLX01,2__FFLEX001,,,Flexitricity Limited,S,TRUE,2__FFLEX001,FLEXTRCY,-3.667,49,C,-0.005034,-0.079,-0.096,1.054,1.284,FALSE,FALSE,_F,Northern,
2__FANGE001,AG-FLIM01,2__FANGE001,,,Limejump Energy Limited,S,TRUE,2__FANGE001,ANGEL,-3.72,50,C,-0.0077506,-0.021,-0.024,0.28,0.325,FALSE,FALSE,_F,_F - Northern,
2__FANGE002,AG-FLIM02,2__FANGE002,,,Limejump Energy Limited,S,TRUE,2__FANGE002,ANGEL,0,50,C,-0.0077506,0,0,11,11,FALSE,FALSE,_F,_F - Northern,
V__LFLEX001,AG-FLX00L,V__LFLEX001,,,Flexitricity Limited,V,TRUE,V__LFLEX001,FLEXTRCY,-2.997,1.196,C,0.0270702,-0.689,-0.689,0.275,0.275,FALSE,FALSE,_L,South Western,
V__PFLEX001,AG-FLX01P,V__PFLEX001,,,Flexitricity Limited,V,TRUE,V__PFLEX001,FLEXTRCY,0,0,C,-0.0347282,0,0,0,0,FALSE,FALSE,_P,North Scotland,
V__NFLEX001,AG-FLX02N,V__NFLEX001,,,Flexitricity Limited,V,TRUE,V__NFLEX001,FLEXTRCY,0,0,C,-0.0075273,0,0,0,0,FALSE,FALSE,_N,South Scotland,
V__HFLEX001,AG-FLX03H,V__HFLEX001,,,Flexitricity Limited,V,TRUE,V__HFLEX001,FLEXTRCY,0,0,C,0.0160206,0,0,0,0,FALSE,FALSE,_H,Southern,
